product_id,product_name,category_id,unit_price
10001,Smartphone Basic,1,1207.48
10002,Laptop Plus,1,1253.272
10003,Wireless Earbuds Pro,1,1714.296
10004,Bluetooth Speaker Mini,1,1580.296
10005,Smartwatch Max,1,1618.144
10006,Gaming Console Value Pack,1,1484.808
10007,4K TV Bundle,1,959.264
10008,Tablet Eco,1,1168.752
10009,Wi‑Fi Router Premium,1,1203.88
10010,Noise‑Cancel Headphones Sport,1,824.576
10011,Camera Ultra,1,1565.344
10012,Smart Home Hub Everyday,1,1149.424
10013,Smartphone Basic,1,366.448
10014,Laptop Plus,1,596.72
10015,Wireless Earbuds Pro,1,255.336
10016,Bluetooth Speaker Mini,1,981.816
10017,Smartwatch Max,1,1163.216
10018,Gaming Console Value Pack,1,692.392
10019,4K TV Bundle,1,730.64
10020,Tablet Eco,1,511.728
10021,Wi‑Fi Router Premium,1,1756.416
10022,Noise‑Cancel Headphones Sport,1,1302.656
10023,Camera Ultra,1,359.504
10024,Smart Home Hub Everyday,1,1624.512
10025,Smartphone Basic,1,201.656
10026,Laptop Plus,1,1626.76
10027,Wireless Earbuds Pro,1,1599.344
10028,Bluetooth Speaker Mini,1,1335.888
10029,Smartwatch Max,1,691.424
10030,Gaming Console Value Pack,1,1326.208
10031,4K TV Bundle,1,1200.48
10032,Tablet Eco,1,508.112
10033,Wi‑Fi Router Premium,1,695.488
10034,Noise‑Cancel Headphones Sport,1,383.064
10035,Camera Ultra,1,339.368
10036,Smart Home Hub Everyday,1,432.136
10037,Smartphone Basic,1,901.44
10038,Laptop Plus,1,425.64
10039,Wireless Earbuds Pro,1,1678.68
10040,Bluetooth Speaker Mini,1,359.728
10041,Smartwatch Max,1,1430.552
10042,Gaming Console Value Pack,1,1570.072
10043,4K TV Bundle,1,279.248
10044,Tablet Eco,1,893.536
10045,Wi‑Fi Router Premium,1,1609.64
10046,Power Drill Basic,2,257.656
10047,Tool Set Plus,2,262.736
10048,Paint Kit Pro,2,622.976
10049,LED Bulb Pack Mini,2,351.84
10050,Smart Thermostat Max,2,49.832
